# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
1.688150144561768151e+00,3.353044351852640381e-01,5.000000000000000104e-04
1.693458836585279625e+00,3.361294353427685122e-01,5.022000377442236091e-04
1.698790887254439719e+00,3.369567884577384653e-01,5.044097558205994005e-04
1.704146399349052210e+00,3.377864945801627994e-01,5.066291968233193384e-04
1.709525476101160013e+00,3.386185536821130770e-01,5.088584035339933833e-04
1.714928221197036695e+00,3.394529656568792131e-01,5.110974189224742545e-04
1.720354738779179105e+00,3.402897303181006694e-01,5.133462861476838094e-04
1.725805133448321982e+00,3.411288473988911552e-01,5.156050485584476621e-04
1.731279510265451016e+00,3.419703165509567211e-01,5.178737496943294771e-04
1.736777974753827669e+00,3.428141373437077477e-01,5.201524332864698166e-04
1.742300632901023771e+00,3.436603092633651602e-01,5.224411432584298663e-04
1.747847591160964331e+00,3.445088317120597043e-01,5.247399237270377638e-04
1.753418956455979671e+00,3.453597040069255608e-01,5.270488190032388302e-04
1.759014836178867114e+00,3.462129253791875749e-01,5.293678735929501378e-04
1.764635338194960879e+00,3.470684949732422142e-01,5.316971321979185481e-04
1.770280570844207091e+00,3.479264118457309762e-01,5.340366397165803754e-04
1.775950642943259883e+00,3.487866749646104658e-01,5.363864412449301580e-04
1.781645663787573053e+00,3.496492832082132574e-01,5.387465820773874783e-04
1.787365743153509712e+00,3.505142353643033726e-01,5.411171077076709374e-04
1.793110991300456369e+00,3.513815301291258741e-01,5.434980638296750587e-04
1.798881518972949678e+00,3.522511661064496313e-01,5.458894963383506592e-04
1.804677437402809836e+00,3.531231418066036465e-01,5.482914513305898845e-04
1.810498858311287984e+00,3.539974556455078303e-01,5.507039751061154707e-04
1.816345893911211595e+00,3.548741059436953393e-01,5.531271141683703329e-04
1.822218656909158963e+00,3.557530909253314721e-01,5.555609152254183201e-04
1.828117260507622799e+00,3.566344087172235167e-01,5.580054251908410671e-04
1.834041818407196489e+00,3.575180573478254908e-01,5.604606911846439542e-04
1.839992444808763672e+00,3.584040347462361664e-01,5.629267605341636924e-04
1.845969254415701588e+00,3.592923387411911529e-01,5.654036807749812221e-04
1.851972362436089981e+00,3.601829670600470990e-01,5.678914996518371044e-04
1.858001884584933538e+00,3.610759173277611755e-01,5.703902651195528768e-04
1.864057937086392336e+00,3.619711870658628983e-01,5.729000253439549013e-04
1.870140636676018708e+00,3.628687736914198991e-01,5.754208287028017912e-04
1.876250100603012783e+00,3.637686745159978696e-01,5.779527237867191020e-04
1.882386446632479338e+00,3.646708867446124547e-01,5.804957594001344551e-04
1.888549793047698877e+00,3.655754074746764837e-01,5.830499845622186261e-04
1.894740258652406695e+00,3.664822336949395409e-01,5.856154485078304264e-04
1.900957962773084153e+00,3.673913622844208748e-01,5.881922006884659224e-04
1.907203025261257512e+00,3.683027900113374220e-01,5.907802907732112325e-04
1.913475566495808522e+00,3.692165135320235603e-01,5.933797686497002026e-04
1.919775707385297681e+00,3.701325293898455326e-01,5.959906844250769612e-04
1.926103569370286817e+00,3.710508340141082662e-01,5.986130884269586904e-04
1.932459274425690543e+00,3.719714237189574169e-01,6.012470312044099988e-04
1.938842945063120160e+00,3.728942947022736432e-01,6.038925635289142582e-04
1.945254704333247764e+00,3.738194430445607175e-01,6.065497363953533966e-04
1.951694675828178127e+00,3.747468647078271431e-01,6.092186010229909453e-04
1.958162983683829239e+00,3.756765555344618868e-01,6.118992088564583366e-04
1.964659752582327945e+00,3.766085112461028950e-01,6.145916115667480334e-04
1.971185107754412247e+00,3.775427274424998370e-01,6.172958610522088271e-04
1.977739174981841597e+00,3.784791996003695758e-01,6.200120094395447125e-04
1.984322080599827620e+00,3.794179230722464768e-01,6.227401090848226541e-04
1.990933951499466170e+00,3.803588930946961710e-01,6.254802125744798099e-04
1.997574915130183371e+00,3.813021075980674301e-01,6.282323727263376938e-04
2.004245099502191430e+00,3.822475712570073680e-01,6.309966425906200251e-04
2.010944633188958441e+00,3.831952898762739368e-01,6.337730754509755642e-04
2.017673645329684184e+00,3.841452694181267113e-01,6.365617248255052863e-04
2.024432265631792127e+00,3.850975160064107894e-01,6.393626444677938912e-04
2.031220624373426986e+00,3.860520359307194616e-01,6.421758883679454331e-04
2.038038852405969159e+00,3.870088356506354854e-01,6.450015107536258892e-04
2.044887081156550490e+00,3.879679218000511298e-01,6.478395660911044282e-04
2.051765442630596681e+00,3.889293011915714859e-01,6.506901090863083381e-04
2.058674069414365260e+00,3.898929808209984360e-01,6.535531946858741609e-04
2.065613094677503980e+00,3.908589678718998872e-01,6.564288780782079336e-04
2.072582652175617213e+00,3.918272697202629384e-01,6.593172146945488988e-04
2.079582876252842993e+00,3.927978939392351987e-01,6.622182602100377697e-04
2.086613901844444285e+00,3.937708483039528695e-01,6.651320705447903063e-04
2.093675864479411342e+00,3.947461407964591995e-01,6.680587018649753383e-04
2.100768900283067619e+00,3.957237796107122563e-01,6.709982105838953889e-04
2.107893145979701899e+00,3.967037731576879001e-01,6.739506533630777079e-04
2.115048738895200398e+00,3.976861300705732405e-01,6.769160871133636775e-04
2.122235816959690879e+00,3.986708592100582371e-01,6.798945689960068928e-04
2.129454518710207189e+00,3.996579696697215578e-01,6.828861564237747109e-04
2.136704983293353344e+00,4.006474707815170233e-01,6.858909070620550046e-04
2.143987350467992492e+00,4.016393721213593615e-01,6.889088788299676863e-04
2.151301760607934099e+00,4.026336835148100479e-01,6.919401299014812197e-04
2.158648354704646888e+00,4.036304150428687842e-01,6.949847187065345518e-04
2.166027274369966893e+00,4.046295770478673948e-01,6.980427039321606721e-04
2.173438661838837049e+00,4.056311801394723582e-01,7.011141445236220970e-04
2.180882659972044557e+00,4.066352352007935322e-01,7.041990996855442952e-04
2.188359412258973791e+00,4.076417533946041782e-01,7.072976288830573523e-04
2.195869062820373863e+00,4.086507461696717858e-01,7.104097918429426234e-04
2.203411756411136402e+00,4.096622252672022513e-01,7.135356485547838298e-04
2.210987638423083990e+00,4.106762027274001303e-01,7.166752592721230362e-04
2.218596854887778136e+00,4.116926908961444642e-01,7.198286845136237823e-04
2.226239552479322370e+00,4.127117024317845662e-01,7.229959850642335645e-04
2.233915878517204856e+00,4.137332503120556559e-01,7.261772219763605206e-04
2.241625980969128573e+00,4.147573478411182846e-01,7.293724565710475120e-04
2.249370008453864145e+00,4.157840086567208271e-01,7.325817504391545550e-04
2.257148110244116879e+00,4.168132467374888184e-01,7.358051654425456969e-04
2.264960436269404020e+00,4.178450764103442960e-01,7.390427637152823968e-04
2.272807137118942222e+00,4.188795123580525415e-01,7.422946076648203771e-04
2.280688364044554106e+00,4.199165696269045456e-01,7.455607599732130874e-04
2.288604268963580157e+00,4.209562636345315356e-01,7.488412835983193974e-04
2.296555004461811045e+00,4.219986095835436268e-01,7.521362417750186626e-04
2.304540723796420831e+00,4.230436155959578781e-01,7.554456980164257892e-04
2.312561580898933045e+00,4.240912848874018315e-01,7.587697161151209365e-04
2.320617730378177868e+00,4.251416206281137811e-01,7.621083601443753158e-04
2.328709327523277750e+00,4.261946260397949660e-01,7.654616944593873977e-04
2.336836528306638350e+00,4.272503043976644821e-01,7.688297836985235646e-04
2.344999489386955016e+00,4.283086590325572152e-01,7.722126927845637508e-04
2.353198368112234817e+00,4.293696933330695131e-01,7.756104869259530452e-04
2.361433322522827893e+00,4.304334107477515436e-01,7.790232316180594743e-04
2.369704511354469911e+00,4.314998147873442824e-01,7.824509926444330864e-04
2.378012094041350721e+00,4.325689090270692372e-01,7.858938360780793470e-04
2.386356230719179461e+00,4.336406971089626361e-01,7.893518282827283053e-04
2.394737082228276748e+00,4.347151827442624628e-01,7.928250359141162306e-04
2.403154810116672202e+00,4.357923697158450071e-01,7.963135259212694153e-04
2.411609576643217956e+00,4.368722618807132640e-01,7.998173655477947008e-04
2.420101544780716818e+00,4.379548631725377339e-01,8.033366223331760755e-04
2.428630878219066869e+00,4.390401776042507365e-01,8.068713641140765839e-04
2.437197741368413162e+00,4.401282092706945703e-01,8.104216590256457667e-04
2.445802299362314081e+00,4.412189623513246839e-01,8.139875755028313283e-04
2.454444718060933006e+00,4.423124411129709110e-01,8.175691822817021887e-04
2.463125164054228655e+00,4.434086499126530523e-01,8.211665484007698006e-04
2.471843804665168065e+00,4.445075932004556307e-01,8.247797432023209595e-04
2.480600807952952014e+00,4.456092755224626556e-01,8.284088363337534320e-04
2.489396342716254651e+00,4.467137015237504505e-01,8.320538977489187402e-04
2.498230578496477783e+00,4.478208759514431536e-01,8.357149977094710178e-04
2.507103685581017594e+00,4.489308036578294470e-01,8.393922067862210701e-04
2.516015835006546020e+00,4.500434896035419574e-01,8.430855958604949879e-04
2.524967198562309889e+00,4.511589388608021611e-01,8.467952361255037114e-04
2.533957948793443826e+00,4.522771566167294033e-01,8.505211990877135702e-04
2.542988259004292928e+00,4.533981481767164756e-01,8.542635565682244131e-04
2.552058303261754091e+00,4.545219189678717520e-01,8.580223807041541337e-04
2.561168256398630660e+00,4.556484745425323224e-01,8.617977439500298107e-04
2.570318294017006622e+00,4.567778205818433523e-01,8.655897190791835092e-04
2.579508592491625230e+00,4.579099628994113269e-01,8.693983791851558895e-04
2.588739328973292952e+00,4.590449074450270173e-01,8.732237976831043686e-04
2.598010681392296739e+00,4.601826603084634426e-01,8.770660483112195215e-04
2.607322828461822173e+00,4.613232277233461076e-01,8.809252051321433269e-04
2.616675949681412483e+00,4.624666160711012886e-01,8.848013425344006385e-04
2.626070225340422226e+00,4.636128318849791485e-01,8.886945352338316336e-04
2.635505836521490064e+00,4.647618818541562336e-01,8.926048582750311993e-04
2.644982965104034633e+00,4.659137728279161283e-01,8.965323870327961261e-04
