# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
5.606999999999999137e-03,1.721930024306123352e-01,9.999989999999998967e-04
6.057999999999999149e-03,1.737445143821604032e-01,1.099999999999999849e-03
6.506999999999998896e-03,1.751222569951350894e-01,1.199999999999999678e-03
6.954999999999999377e-03,1.762021093134125416e-01,1.299999999999999723e-03
7.400999999999999593e-03,1.772323132492404640e-01,1.399999999999999552e-03
7.846999999999999809e-03,1.779894510815959452e-01,1.499999999999999598e-03
8.291999999999999024e-03,1.785852316709904408e-01,1.599999999999999860e-03
8.736999999999999975e-03,1.791561880691601161e-01,1.699999999999999688e-03
9.180999999999999925e-03,1.795657872243687780e-01,1.799999999999999734e-03
1.007199999999999936e-02,1.803229250567242592e-01,1.999999999999999608e-03
1.118699999999999903e-02,1.809062935505063030e-01,2.249999999999999396e-03
1.230499999999999823e-02,1.811297112715292701e-01,2.499999999999999618e-03
1.342699999999999970e-02,1.812414201320406981e-01,2.749999999999999407e-03
1.455299999999999823e-02,1.812910685144902556e-01,2.999999999999999195e-03
1.568400000000000002e-02,1.811297112715292146e-01,3.249999999999999417e-03
1.681999999999999815e-02,1.810304145066301551e-01,3.499999999999999205e-03
1.795999999999999680e-02,1.807573484031577138e-01,3.749999999999999428e-03
1.910599999999999798e-02,1.805463427777471985e-01,3.999999999999999216e-03
2.141199999999999701e-02,1.801243315269261125e-01,4.499999999999998793e-03
2.373600000000000015e-02,1.795409630331440132e-01,4.999999999999999237e-03
2.607799999999999355e-02,1.790941275910981623e-01,5.499999999999998813e-03
2.843599999999999947e-02,1.786472921490523391e-01,5.999999999999998390e-03
3.080799999999999511e-02,1.782376929938436216e-01,6.499999999999998834e-03
3.319399999999999434e-02,1.778777422210844894e-01,6.999999999999998411e-03
3.800499999999999712e-02,1.773316100141395513e-01,7.999999999999998432e-03
4.285599999999999826e-02,1.769840713369927876e-01,8.999999999999997585e-03
4.773899999999999672e-02,1.768227140940317743e-01,9.999999999999998473e-03
5.264699999999999935e-02,1.768227140940317743e-01,1.099999999999999763e-02
5.757299999999999918e-02,1.769592471457679950e-01,1.199999999999999678e-02
6.251399999999998625e-02,1.772447253448528603e-01,1.299999999999999767e-02
6.746299999999999519e-02,1.776295003088367574e-01,1.399999999999999682e-02
7.241599999999999426e-02,1.781135720377197695e-01,1.499999999999999771e-02
7.737099999999999533e-02,1.786969405315018689e-01,1.599999999999999686e-02
8.232299999999999340e-02,1.793299574077334979e-01,1.699999999999999775e-02
8.727100000000000135e-02,1.800374468576393938e-01,1.799999999999999517e-02
9.714599999999999624e-02,1.816261950960246507e-01,1.999999999999999695e-02
1.089999999999999858e-01,1.836866029676804679e-01,2.249999999999999570e-02
1.219999999999999835e-01,1.870502808786367321e-01,2.499999999999999445e-02
1.339999999999999802e-01,1.908483821360264232e-01,2.749999999999999320e-02
1.449999999999999900e-01,1.944851261504551565e-01,2.999999999999999542e-02
1.569999999999999729e-01,1.977991556789618355e-01,3.249999999999999417e-02
1.689999999999999836e-01,2.008897674864456029e-01,3.499999999999999639e-02
1.799999999999999933e-01,2.035831922343331046e-01,3.749999999999999167e-02
1.909999999999999754e-01,2.058297815401747277e-01,3.999999999999999389e-02
2.139999999999999680e-01,2.097023553712387411e-01,4.499999999999999140e-02
2.359999999999999876e-01,2.128426155611720660e-01,4.999999999999998890e-02
2.579999999999999516e-01,2.152505621099746747e-01,5.499999999999998640e-02
2.789999999999999702e-01,2.174847393202039014e-01,5.999999999999999084e-02
3.009999999999999898e-01,2.196072076699216724e-01,6.499999999999998834e-02
3.219999999999999529e-01,2.217048518284146508e-01,6.999999999999999278e-02
3.649999999999999911e-01,2.259001401454006908e-01,7.999999999999998779e-02
4.070000000000000284e-01,2.306291485737192448e-01,8.999999999999998279e-02
4.479999999999999538e-01,2.357429319660217237e-01,9.999999999999997780e-02
4.879999999999999338e-01,2.414028475652691408e-01,1.099999999999999728e-01
5.269999999999999130e-01,2.475592469890118830e-01,1.199999999999999817e-01
5.659999999999999476e-01,2.541624818548005593e-01,1.299999999999999767e-01
6.029999999999999805e-01,2.611629037801855291e-01,1.399999999999999856e-01
6.399999999999999023e-01,2.684115676178181475e-01,1.499999999999999667e-01
6.759999999999999343e-01,2.757719403159622495e-01,1.599999999999999756e-01
7.109999999999999654e-01,2.834798516912530597e-01,1.699999999999999567e-01
7.439999999999998836e-01,2.911381146840944512e-01,1.799999999999999656e-01
8.099999999999999423e-01,3.067773551556990941e-01,1.999999999999999556e-01
8.869999999999998996e-01,3.262146968846935113e-01,2.249999999999999500e-01
9.599999999999999645e-01,3.452548515540914686e-01,2.499999999999999445e-01
1.028999999999999915e+00,3.641212368849162107e-01,2.749999999999999667e-01
1.094999999999999973e+00,3.827517923991055615e-01,2.999999999999999334e-01
1.157999999999999918e+00,4.012507796998036613e-01,3.249999999999999556e-01
1.217999999999999972e+00,4.195896509671019903e-01,3.499999999999999223e-01
1.274999999999999911e+00,4.380042360176358840e-01,3.749999999999999445e-01
1.330999999999999961e+00,4.563555193805465815e-01,3.999999999999999112e-01
1.434999999999999831e+00,4.929612717605914018e-01,4.499999999999999001e-01
1.531999999999999806e+00,5.289749671799254260e-01,4.999999999999998890e-01
1.621999999999999664e+00,5.641123686490252531e-01,5.499999999999999334e-01
1.707999999999999741e+00,5.980966864357344370e-01,5.999999999999998668e-01
1.788999999999999924e+00,6.306635429035092333e-01,6.499999999999999112e-01
1.864999999999999769e+00,6.617968023280537126e-01,6.999999999999998446e-01
2.008999999999999897e+00,7.194782930579276536e-01,7.999999999999998224e-01
2.142999999999999794e+00,7.709587008198541813e-01,8.999999999999998002e-01
2.267999999999999794e+00,8.167009967801753811e-01,9.999999999999997780e-01
2.387000000000000011e+00,8.569273574503527557e-01,1.099999999999999867e+00
2.500999999999999890e+00,8.922422518867095809e-01,1.199999999999999734e+00
2.610999999999999766e+00,9.231322342372513257e-01,1.299999999999999822e+00
2.716999999999999638e+00,9.502079796061071448e-01,1.399999999999999689e+00
2.820999999999999730e+00,9.737115238577187526e-01,1.499999999999999778e+00
2.922999999999999599e+00,9.942597481440215157e-01,1.599999999999999645e+00
3.021999999999999797e+00,1.012095929539018169e+00,1.699999999999999734e+00
3.119999999999999662e+00,1.027467068745395284e+00,1.799999999999999600e+00
3.311999999999999833e+00,1.052412898507166350e+00,1.999999999999999556e+00
3.545999999999999819e+00,1.074623102395967145e+00,2.249999999999999556e+00
3.776999999999999691e+00,1.089433214880664691e+00,2.499999999999999556e+00
4.004999999999999893e+00,1.098567276041818364e+00,2.749999999999999556e+00
4.231999999999999318e+00,1.103632652261232749e+00,2.999999999999999556e+00
4.457999999999999297e+00,1.105616105140091898e+00,3.249999999999999556e+00
4.683999999999999275e+00,1.105257395576893842e+00,3.499999999999999112e+00
4.910999999999999588e+00,1.103050524977011948e+00,3.749999999999999112e+00
5.136999999999999567e+00,1.099489494745818696e+00,3.999999999999999112e+00
5.593999999999999417e+00,1.089290475781122147e+00,4.499999999999999112e+00
6.055999999999999162e+00,1.076512223348172315e+00,4.999999999999999112e+00
6.523000000000000576e+00,1.062015516277687643e+00,5.499999999999999112e+00
6.996999999999998998e+00,1.046665477633851316e+00,5.999999999999999112e+00
7.477999999999999758e+00,1.030582380623147776e+00,6.499999999999999112e+00
7.966999999999999638e+00,1.014260599013818265e+00,6.999999999999998224e+00
8.968999999999999417e+00,9.813903909292767125e-01,7.999999999999998224e+00
1.000599999999999845e+01,9.489136462756476709e-01,8.999999999999998224e+00
1.107699999999999818e+01,9.173208910715326958e-01,9.999999999999998224e+00
1.218599999999999817e+01,8.868565194795396955e-01,1.099999999999999822e+01
1.333299999999999841e+01,8.576417976738016646e-01,1.199999999999999822e+01
1.451799999999999891e+01,8.296748638399764619e-01,1.299999999999999822e+01
1.574299999999999855e+01,8.030785977246270857e-01,1.399999999999999645e+01
1.700899999999999679e+01,7.778520063601043200e-01,1.499999999999999645e+01
1.831499999999999773e+01,7.538700999435913319e-01,1.599999999999999645e+01
1.966199999999999903e+01,7.310081369141839813e-01,1.699999999999999645e+01
2.105099999999999838e+01,7.093898658651374145e-01,1.799999999999999645e+01
2.395399999999999707e+01,6.692624295969907822e-01,1.999999999999999645e+01
2.780799999999999628e+01,6.288861308118156579e-01,2.249999999999999645e+01
3.192399999999999594e+01,5.871514522828212845e-01,2.499999999999999645e+01
3.631099999999999994e+01,5.532414829488303543e-01,2.749999999999999289e+01
4.096099999999999852e+01,5.229349932130269440e-01,2.999999999999999289e+01
4.587199999999999278e+01,4.957346304042226093e-01,3.249999999999999289e+01
5.104599999999999227e+01,4.712671628073532570e-01,3.499999999999999289e+01
5.648199999999999221e+01,4.490359824769671881e-01,3.749999999999999289e+01
6.218099999999999739e+01,4.289163478521600403e-01,3.999999999999999289e+01
7.435499999999998977e+01,3.936458887180955823e-01,4.499999999999999289e+01
8.757299999999999329e+01,3.638404752821640664e-01,4.999999999999999289e+01
