# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
1.539699999999999923e-02,4.386434662255196681e-02,9.999989999999998967e-04
1.701199999999999934e-02,4.367816518527458530e-02,1.099999999999999849e-03
1.864599999999999938e-02,4.350439584381569913e-02,1.199999999999999678e-03
2.029699999999999907e-02,4.336786278981227816e-02,1.299999999999999723e-03
2.196299999999999641e-02,4.324374183162735252e-02,1.399999999999999552e-03
2.364299999999999735e-02,4.314444506507941757e-02,1.499999999999999598e-03
2.533599999999999741e-02,4.305756039434996407e-02,1.599999999999999860e-03
2.704099999999999906e-02,4.299549991525750819e-02,1.699999999999999688e-03
2.875699999999999784e-02,4.294585153198354766e-02,1.799999999999999734e-03
3.221899999999999764e-02,4.289620314870956630e-02,1.999999999999999608e-03
3.659199999999999953e-02,4.288379105289107790e-02,2.249999999999999396e-03
4.100499999999999978e-02,4.294585153198353378e-02,2.499999999999999618e-03
4.544799999999999535e-02,4.306997249016845941e-02,2.749999999999999407e-03
4.991299999999999210e-02,4.323132973580885718e-02,2.999999999999999195e-03
5.439299999999998997e-02,4.342992326890474097e-02,3.249999999999999417e-03
5.888399999999999884e-02,4.365334099363760156e-02,3.499999999999999205e-03
6.337999999999999190e-02,4.390158291000745283e-02,3.749999999999999428e-03
6.787799999999999390e-02,4.417464901801428090e-02,3.999999999999999216e-03
7.686999999999999389e-02,4.477042961730191839e-02,4.499999999999998793e-03
8.583299999999999264e-02,4.541585859986351642e-02,4.999999999999999237e-03
9.475199999999998901e-02,4.608611177406210513e-02,5.499999999999998813e-03
1.039999999999999952e-01,4.680601333153466131e-02,5.999999999999998390e-03
1.119999999999999885e-01,4.751350279318872910e-02,6.499999999999998834e-03
1.209999999999999826e-01,4.825822854229826209e-02,6.999999999999998411e-03
1.379999999999999838e-01,4.974271520218995213e-02,7.999999999999998432e-03
1.549999999999999989e-01,5.133766951486622154e-02,8.999999999999997585e-03
1.719999999999999862e-01,5.293014140837878911e-02,9.999999999999998473e-03
1.879999999999999727e-01,5.451764846356395994e-02,1.099999999999999763e-02
2.039999999999999869e-01,5.610639672833097474e-02,1.199999999999999678e-02
2.199999999999999734e-01,5.768273289727950809e-02,1.299999999999999767e-02
2.349999999999999867e-01,5.925906906622804143e-02,1.399999999999999682e-02
2.499999999999999722e-01,6.080437499563032949e-02,1.499999999999999771e-02
2.639999999999999569e-01,6.234843971545078745e-02,1.599999999999999686e-02
2.789999999999999702e-01,6.386023298614315613e-02,1.699999999999999775e-02
2.929999999999999827e-01,6.537326746641737574e-02,1.799999999999999517e-02
3.199999999999999512e-01,6.834224078620074194e-02,1.999999999999999695e-02
3.529999999999999805e-01,7.195912550770941496e-02,2.249999999999999570e-02
3.849999999999999534e-01,7.549657281597972613e-02,2.499999999999999445e-02
4.149999999999999800e-01,7.894837666310244861e-02,2.749999999999999320e-02
4.439999999999999503e-01,8.231205462991389443e-02,2.999999999999999542e-02
4.719999999999999751e-01,8.560498365055989323e-02,3.249999999999999417e-02
4.989999999999999436e-01,8.881723404838573477e-02,3.499999999999999639e-02
5.259999999999999121e-01,9.195625308088244132e-02,3.749999999999999167e-02
5.509999999999999343e-01,9.501955832888636655e-02,3.999999999999999389e-02
5.999999999999999778e-01,1.009624698067805026e-01,4.499999999999999140e-02
6.459999999999999076e-01,1.066385212245770375e-01,4.999999999999998890e-02
6.909999999999999476e-01,1.120576422589308063e-01,5.499999999999998640e-02
7.329999999999999849e-01,1.172247977481691711e-01,5.999999999999999084e-02
7.729999999999999094e-01,1.221561234168561799e-01,6.499999999999998834e-02
8.130000000000000560e-01,1.268863731332836309e-01,6.999999999999999278e-02
8.869999999999998996e-01,1.354494780384614683e-01,7.999999999999998779e-02
9.569999999999999618e-01,1.433175055778037887e-01,8.999999999999998279e-02
1.024000000000000021e+00,1.503514402781433723e-01,9.999999999999997780e-02
1.087999999999999856e+00,1.567908355887772665e-01,1.099999999999999728e-01
1.149999999999999911e+00,1.628789685877477245e-01,1.199999999999999817e-01
1.208999999999999853e+00,1.687349953949124348e-01,1.299999999999999767e-01
1.266999999999999904e+00,1.743551923815257754e-01,1.399999999999999856e-01
1.322999999999999954e+00,1.799853190447939233e-01,1.499999999999999667e-01
1.376999999999999780e+00,1.853771334683469718e-01,1.599999999999999756e-01
1.429999999999999938e+00,1.907763951493911536e-01,1.699999999999999567e-01
1.480999999999999872e+00,1.960565007105778135e-01,1.799999999999999656e-01
1.578999999999999959e+00,2.065089748412465842e-01,1.999999999999999556e-01
1.695999999999999952e+00,2.186967840882987624e-01,2.249999999999999500e-01
1.806999999999999940e+00,2.301578651251782459e-01,2.499999999999999445e-01
1.911999999999999922e+00,2.406395076810204370e-01,2.749999999999999667e-01
2.013999999999999790e+00,2.500143636527277224e-01,2.999999999999999334e-01
