# Ion Energy /MeV, dE/dx /MeV / cm
9.999989999999998967e-04,1.721930024306123352e-01
1.099999999999999849e-03,1.737445143821604032e-01
1.199999999999999678e-03,1.751222569951350894e-01
1.299999999999999723e-03,1.762021093134125416e-01
1.399999999999999552e-03,1.772323132492404640e-01
1.499999999999999598e-03,1.779894510815959452e-01
1.599999999999999860e-03,1.785852316709904408e-01
1.699999999999999688e-03,1.791561880691601161e-01
1.799999999999999734e-03,1.795657872243687780e-01
1.999999999999999608e-03,1.803229250567242592e-01
2.249999999999999396e-03,1.809062935505063030e-01
2.499999999999999618e-03,1.811297112715292701e-01
2.749999999999999407e-03,1.812414201320406981e-01
2.999999999999999195e-03,1.812910685144902556e-01
3.249999999999999417e-03,1.811297112715292146e-01
3.499999999999999205e-03,1.810304145066301551e-01
3.749999999999999428e-03,1.807573484031577138e-01
3.999999999999999216e-03,1.805463427777471985e-01
4.499999999999998793e-03,1.801243315269261125e-01
4.999999999999999237e-03,1.795409630331440132e-01
5.499999999999998813e-03,1.790941275910981623e-01
5.999999999999998390e-03,1.786472921490523391e-01
6.499999999999998834e-03,1.782376929938436216e-01
6.999999999999998411e-03,1.778777422210844894e-01
7.999999999999998432e-03,1.773316100141395513e-01
8.999999999999997585e-03,1.769840713369927876e-01
9.999999999999998473e-03,1.768227140940317743e-01
1.099999999999999763e-02,1.768227140940317743e-01
1.199999999999999678e-02,1.769592471457679950e-01
1.299999999999999767e-02,1.772447253448528603e-01
1.399999999999999682e-02,1.776295003088367574e-01
1.499999999999999771e-02,1.781135720377197695e-01
1.599999999999999686e-02,1.786969405315018689e-01
1.699999999999999775e-02,1.793299574077334979e-01
1.799999999999999517e-02,1.800374468576393938e-01
1.999999999999999695e-02,1.816261950960246507e-01
2.249999999999999570e-02,1.836866029676804679e-01
2.499999999999999445e-02,1.870502808786367321e-01
2.749999999999999320e-02,1.908483821360264232e-01
2.999999999999999542e-02,1.944851261504551565e-01
3.249999999999999417e-02,1.977991556789618355e-01
3.499999999999999639e-02,2.008897674864456029e-01
3.749999999999999167e-02,2.035831922343331046e-01
3.999999999999999389e-02,2.058297815401747277e-01
4.499999999999999140e-02,2.097023553712387411e-01
4.999999999999998890e-02,2.128426155611720660e-01
5.499999999999998640e-02,2.152505621099746747e-01
5.999999999999999084e-02,2.174847393202039014e-01
6.499999999999998834e-02,2.196072076699216724e-01
6.999999999999999278e-02,2.217048518284146508e-01
7.999999999999998779e-02,2.259001401454006908e-01
8.999999999999998279e-02,2.306291485737192448e-01
9.999999999999997780e-02,2.357429319660217237e-01
1.099999999999999728e-01,2.414028475652691408e-01
1.199999999999999817e-01,2.475592469890118830e-01
1.299999999999999767e-01,2.541624818548005593e-01
1.399999999999999856e-01,2.611629037801855291e-01
1.499999999999999667e-01,2.684115676178181475e-01
1.599999999999999756e-01,2.757719403159622495e-01
1.699999999999999567e-01,2.834798516912530597e-01
1.799999999999999656e-01,2.911381146840944512e-01
1.999999999999999556e-01,3.067773551556990941e-01
2.249999999999999500e-01,3.262146968846935113e-01
2.499999999999999445e-01,3.452548515540914686e-01
2.749999999999999667e-01,3.641212368849162107e-01
2.999999999999999334e-01,3.827517923991055615e-01
3.249999999999999556e-01,4.012507796998036613e-01
3.499999999999999223e-01,4.195896509671019903e-01
3.749999999999999445e-01,4.380042360176358840e-01
3.999999999999999112e-01,4.563555193805465815e-01
4.499999999999999001e-01,4.929612717605914018e-01
4.999999999999998890e-01,5.289749671799254260e-01
5.499999999999999334e-01,5.641123686490252531e-01
5.999999999999998668e-01,5.980966864357344370e-01
6.499999999999999112e-01,6.306635429035092333e-01
6.999999999999998446e-01,6.617968023280537126e-01
7.999999999999998224e-01,7.194782930579276536e-01
8.999999999999998002e-01,7.709587008198541813e-01
9.999999999999997780e-01,8.167009967801753811e-01
1.099999999999999867e+00,8.569273574503527557e-01
1.199999999999999734e+00,8.922422518867095809e-01
1.299999999999999822e+00,9.231322342372513257e-01
1.399999999999999689e+00,9.502079796061071448e-01
1.499999999999999778e+00,9.737115238577187526e-01
1.599999999999999645e+00,9.942597481440215157e-01
1.699999999999999734e+00,1.012095929539018169e+00
1.799999999999999600e+00,1.027467068745395284e+00
1.999999999999999556e+00,1.052412898507166350e+00
2.249999999999999556e+00,1.074623102395967145e+00
2.499999999999999556e+00,1.089433214880664691e+00
2.749999999999999556e+00,1.098567276041818364e+00
2.999999999999999556e+00,1.103632652261232749e+00
3.249999999999999556e+00,1.105616105140091898e+00
3.499999999999999112e+00,1.105257395576893842e+00
3.749999999999999112e+00,1.103050524977011948e+00
3.999999999999999112e+00,1.099489494745818696e+00
4.499999999999999112e+00,1.089290475781122147e+00
4.999999999999999112e+00,1.076512223348172315e+00
5.499999999999999112e+00,1.062015516277687643e+00
5.999999999999999112e+00,1.046665477633851316e+00
6.499999999999999112e+00,1.030582380623147776e+00
6.999999999999998224e+00,1.014260599013818265e+00
7.999999999999998224e+00,9.813903909292767125e-01
8.999999999999998224e+00,9.489136462756476709e-01
9.999999999999998224e+00,9.173208910715326958e-01
1.099999999999999822e+01,8.868565194795396955e-01
1.199999999999999822e+01,8.576417976738016646e-01
1.299999999999999822e+01,8.296748638399764619e-01
1.399999999999999645e+01,8.030785977246270857e-01
1.499999999999999645e+01,7.778520063601043200e-01
1.599999999999999645e+01,7.538700999435913319e-01
1.699999999999999645e+01,7.310081369141839813e-01
1.799999999999999645e+01,7.093898658651374145e-01
1.999999999999999645e+01,6.692624295969907822e-01
2.249999999999999645e+01,6.288861308118156579e-01
2.499999999999999645e+01,5.871514522828212845e-01
2.749999999999999289e+01,5.532414829488303543e-01
2.999999999999999289e+01,5.229349932130269440e-01
3.249999999999999289e+01,4.957346304042226093e-01
3.499999999999999289e+01,4.712671628073532570e-01
3.749999999999999289e+01,4.490359824769671881e-01
3.999999999999999289e+01,4.289163478521600403e-01
4.499999999999999289e+01,3.936458887180955823e-01
4.999999999999999289e+01,3.638404752821640664e-01
