# Ion Energy /MeV, dE/dx /MeV / cm
9.999989999999998967e-04,4.386434662255196681e-02
1.099999999999999849e-03,4.367816518527458530e-02
1.199999999999999678e-03,4.350439584381569913e-02
1.299999999999999723e-03,4.336786278981227816e-02
1.399999999999999552e-03,4.324374183162735252e-02
1.499999999999999598e-03,4.314444506507941757e-02
1.599999999999999860e-03,4.305756039434996407e-02
1.699999999999999688e-03,4.299549991525750819e-02
1.799999999999999734e-03,4.294585153198354766e-02
1.999999999999999608e-03,4.289620314870956630e-02
2.249999999999999396e-03,4.288379105289107790e-02
2.499999999999999618e-03,4.294585153198353378e-02
2.749999999999999407e-03,4.306997249016845941e-02
2.999999999999999195e-03,4.323132973580885718e-02
3.249999999999999417e-03,4.342992326890474097e-02
3.499999999999999205e-03,4.365334099363760156e-02
3.749999999999999428e-03,4.390158291000745283e-02
3.999999999999999216e-03,4.417464901801428090e-02
4.499999999999998793e-03,4.477042961730191839e-02
4.999999999999999237e-03,4.541585859986351642e-02
5.499999999999998813e-03,4.608611177406210513e-02
5.999999999999998390e-03,4.680601333153466131e-02
6.499999999999998834e-03,4.751350279318872910e-02
6.999999999999998411e-03,4.825822854229826209e-02
7.999999999999998432e-03,4.974271520218995213e-02
8.999999999999997585e-03,5.133766951486622154e-02
9.999999999999998473e-03,5.293014140837878911e-02
1.099999999999999763e-02,5.451764846356395994e-02
1.199999999999999678e-02,5.610639672833097474e-02
1.299999999999999767e-02,5.768273289727950809e-02
1.399999999999999682e-02,5.925906906622804143e-02
1.499999999999999771e-02,6.080437499563032949e-02
1.599999999999999686e-02,6.234843971545078745e-02
1.699999999999999775e-02,6.386023298614315613e-02
1.799999999999999517e-02,6.537326746641737574e-02
1.999999999999999695e-02,6.834224078620074194e-02
2.249999999999999570e-02,7.195912550770941496e-02
2.499999999999999445e-02,7.549657281597972613e-02
2.749999999999999320e-02,7.894837666310244861e-02
2.999999999999999542e-02,8.231205462991389443e-02
3.249999999999999417e-02,8.560498365055989323e-02
3.499999999999999639e-02,8.881723404838573477e-02
3.749999999999999167e-02,9.195625308088244132e-02
3.999999999999999389e-02,9.501955832888636655e-02
4.499999999999999140e-02,1.009624698067805026e-01
4.999999999999998890e-02,1.066385212245770375e-01
5.499999999999998640e-02,1.120576422589308063e-01
5.999999999999999084e-02,1.172247977481691711e-01
6.499999999999998834e-02,1.221561234168561799e-01
6.999999999999999278e-02,1.268863731332836309e-01
7.999999999999998779e-02,1.354494780384614683e-01
8.999999999999998279e-02,1.433175055778037887e-01
9.999999999999997780e-02,1.503514402781433723e-01
1.099999999999999728e-01,1.567908355887772665e-01
1.199999999999999817e-01,1.628789685877477245e-01
1.299999999999999767e-01,1.687349953949124348e-01
1.399999999999999856e-01,1.743551923815257754e-01
1.499999999999999667e-01,1.799853190447939233e-01
1.599999999999999756e-01,1.853771334683469718e-01
1.699999999999999567e-01,1.907763951493911536e-01
