# Silicon Energy /keV, Vertex Location /mm
nan,3.370175720023325994e+01
nan,3.091181252103706356e+01
nan,2.812186784184086719e+01
nan,2.533192316264466726e+01
nan,2.254197848344847444e+01
nan,1.975203380425227451e+01
nan,1.696208912505607813e+01
nan,1.417214444585988176e+01
nan,1.138219976666368538e+01
nan,8.592255087467490782e+00
nan,5.802310408271291742e+00
nan,3.012365729075092702e+00
nan,2.224210498788981027e-01
nan,-2.567523629317296496e+00
nan,-5.357468308513495536e+00
nan,-8.147412987709694576e+00
nan,-1.093735766690588918e+01
nan,-1.372730234610208377e+01
nan,-1.651724702529827837e+01
nan,-1.930719170449448185e+01
nan,-2.209713638369067468e+01
nan,-2.488708106288687105e+01
nan,-2.767702574208307453e+01
nan,-3.046697042127927091e+01
nan,-3.325691510047546728e+01
nan,-3.604685977967165655e+01
nan,-3.883680445886785293e+01
nan,-4.162674913806405641e+01
nan,-4.441669381726025279e+01
nan,-4.720663849645644916e+01
nan,-4.999658317565264554e+01
nan,-5.278652785484883481e+01
nan,-5.557647253404503829e+01
nan,-5.836641721324124177e+01
nan,-6.115636189243743104e+01
nan,-6.394630657163362741e+01
nan,-6.673625125082980958e+01
nan,-6.952619593002602016e+01
nan,-7.231614060922223075e+01
nan,-7.510608528841841292e+01
nan,-7.789602996761460929e+01
nan,-8.068597464681081988e+01
nan,-8.347591932600700204e+01
nan,-8.626586400520321263e+01
nan,-8.905580868439940900e+01
nan,-9.184575336359559117e+01
nan,-9.463569804279180175e+01
nan,-9.742564272198798392e+01
nan,-1.002155874011841945e+02
nan,-1.030055320803803909e+02
nan,-1.057954767595765730e+02
nan,-1.085854214387727836e+02
nan,-1.113753661179689658e+02
nan,-1.141653107971651764e+02
3.124731118699237982e+02,-1.169552554763613728e+02
8.664125132051140099e+02,-1.197452001555575549e+02
1.378868447902873186e+03,-1.225351448347537655e+02
1.826767333195627998e+03,-1.253250895139499619e+02
2.224705624270317003e+03,-1.281150341931461583e+02
2.579903629206070036e+03,-1.309049788723423546e+02
2.918327656808627580e+03,-1.336949235515385510e+02
3.228186182352139895e+03,-1.364848682307347758e+02
3.531756196203788477e+03,-1.392748129099309153e+02
3.821000648214590910e+03,-1.420647575891271401e+02
4.090107304889631450e+03,-1.448547022683233365e+02
4.344282577917349954e+03,-1.476446469475195329e+02
4.587731571113487007e+03,-1.504345916267157577e+02
4.828389976717029640e+03,-1.532245363059118972e+02
5.073940041256919358e+03,-1.560144809851081220e+02
5.304550764080881891e+03,-1.588044256643043184e+02
5.530431612752478941e+03,-1.615943703435005148e+02
5.741186189795481368e+03,-1.643843150226967396e+02
5.949718467421747846e+03,-1.671742597018928791e+02
6.164904782954596158e+03,-1.699642043810891039e+02
6.376455736129802972e+03,-1.727541490602853003e+02
6.581093289230027040e+03,-1.755440937394814966e+02
6.776867301579295599e+03,-1.783340384186777214e+02
6.970881805995097238e+03,-1.811239830978739178e+02
7.151676356111302084e+03,-1.839139277770700858e+02
7.340266223080172495e+03,-1.867038724562662821e+02
7.527312284726730468e+03,-1.894938171354624785e+02
7.712869729857942730e+03,-1.922837618146587033e+02
7.896991376282466263e+03,-1.950737064938548997e+02
8.072553675144123190e+03,-1.978636511730510676e+02
8.237630763406586993e+03,-2.006535958522472640e+02
8.421967557819883950e+03,-2.034435405314434604e+02
8.605747207407461246e+03,-2.062334852106396852e+02
8.788271401186875664e+03,-2.090234298898358816e+02
8.969563555588629242e+03,-2.118133745690320779e+02
9.137301471519162078e+03,-2.146033192482282459e+02
9.301438266578703406e+03,-2.173932639274244423e+02
9.470963776870645233e+03,-2.201832086066206671e+02
9.643648689992223808e+03,-2.229731532858168634e+02
9.815236145002238118e+03,-2.257630979650130598e+02
9.985743696278934294e+03,-2.285530426442092278e+02
1.014600269547347125e+04,-2.313429873234054241e+02
1.030443316303092979e+04,-2.341329320026016489e+02
1.046189378107084121e+04,-2.369228766817978453e+02
1.062804750797486849e+04,-2.397128213609940417e+02
1.079326976274302797e+04,-2.425027660401902097e+02
1.095751358067988440e+04,-2.452927107193864060e+02
1.110840181002989993e+04,-2.480826553985826308e+02
1.125407973529302762e+04,-2.508726000777788272e+02
1.139891866683090302e+04,-2.536625447569750236e+02
1.154409224517866824e+04,-2.564524894361711631e+02
1.169569065241974749e+04,-2.592424341153674163e+02
1.184644427463916691e+04,-2.620323787945636127e+02
1.199636538008822026e+04,-2.648223234737598091e+02
1.213738455984722532e+04,-2.676122681529560055e+02
1.227743807904567984e+04,-2.704022128321522018e+02
1.241673882971456624e+04,-2.731921575113483982e+02
1.255555750803649607e+04,-2.759821021905445946e+02
1.270105127019681640e+04,-2.787720468697407910e+02
1.284578809399893726e+04,-2.815619915489369873e+02
1.298977935750238066e+04,-2.843519362281331837e+02
1.312603510853913212e+04,-2.871418809073293801e+02
1.326106926513802682e+04,-2.899318255865255765e+02
1.339543091647167057e+04,-2.927217702657218297e+02
1.352913110339699597e+04,-2.955117149449179692e+02
1.366697173186795226e+04,-2.983016596241141087e+02
1.380638613582157086e+04,-3.010916043033103620e+02
1.394514159203996678e+04,-3.038815489825065583e+02
1.407908676944046783e+04,-3.066714936617028116e+02
1.420968408400912449e+04,-3.094614383408989511e+02
1.433968685489407471e+04,-3.122513830200950906e+02
1.446910540007408417e+04,-3.150413276992913438e+02
1.459850024832781673e+04,-3.178312723784875402e+02
1.473324601484215418e+04,-3.206212170576837934e+02
1.486741289647993108e+04,-3.234111617368799330e+02
1.500096304423580295e+04,-3.262011064160760725e+02
1.512766550346487929e+04,-3.289910510952723257e+02
1.525383982387481046e+04,-3.317809957744685221e+02
1.537949180095695374e+04,-3.345709404536647753e+02
1.550462718064939145e+04,-3.373608851328609148e+02
1.563227181846068743e+04,-3.401508298120570544e+02
1.576833928792247934e+04,-3.429407744912533076e+02
1.590386367627168329e+04,-3.457307191704495040e+02
1.603708508096027981e+04,-3.485206638496457572e+02
1.616542977341433107e+04,-3.513106085288418967e+02
1.629327328530413979e+04,-3.541005532080380362e+02
1.642062127812829203e+04,-3.568904978872342895e+02
1.654747937772200748e+04,-3.596804425664304858e+02
1.667385317578503964e+04,-3.624703872456267391e+02
1.679974823133085374e+04,-3.652603319248228786e+02
1.692517007206201743e+04,-3.680502766040190181e+02
1.704794488282045859e+04,-3.708402212832152713e+02
1.716702387183498649e+04,-3.736301659624114677e+02
1.728566467884186568e+04,-3.764201106416077209e+02
1.740387121689981723e+04,-3.792100553208038605e+02
1.752164737564872485e+04,-3.820000000000000000e+02
